Survived,Pclass,Age,SibSp,Parch,Fare,FamilySize,IsAlone,LogFare,Sex_male,Embarked_Q,Embarked_S,Title_Miss,Title_Mr,Title_Mrs,Title_Rare,AgeGroup_Teen,AgeGroup_YoungAdult,AgeGroup_Adult,AgeGroup_Senior
0,3,20.0,0,0,7.8542,1,1,2.180891922715322,1,0,1,0,1,0,0,0,1,0,0
0,1,46.0,1,0,61.175,2,0,4.1299529896894684,1,0,1,0,1,0,0,0,0,1,0
0,3,26.0,1,2,20.575,4,0,3.0715352369694915,1,0,1,0,1,0,0,0,1,0,0
0,3,59.0,0,0,7.25,1,1,2.1102132003465894,1,0,1,0,1,0,0,0,0,1,0
0,3,28.0,0,0,8.05,1,1,2.2027647577118348,1,0,1,0,1,0,0,0,1,0,0
0,1,71.0,0,0,34.6542,1,1,3.57386695198272,1,0,0,0,1,0,0,0,0,0,1
1,1,23.0,0,1,63.3583,2,0,4.164465907853638,1,0,0,0,1,0,0,0,1,0,0
1,2,34.0,0,1,23.0,2,0,3.1780538303479458,0,0,1,0,0,1,0,0,1,0,0
0,2,34.0,1,0,26.0,2,0,3.295836866004329,1,0,1,0,1,0,0,0,1,0,0
0,3,28.0,0,0,7.8958,1,1,2.1855792552411137,0,0,1,1,0,0,0,0,1,0,0
0,3,28.0,0,0,7.8958,1,1,2.1855792552411137,1,0,1,0,1,0,0,0,1,0,0
0,1,21.0,0,1,77.2875,2,0,4.360387947851531,1,0,1,0,1,0,0,0,1,0,0
0,3,33.0,0,0,8.6542,1,1,2.267393053825037,1,0,1,0,1,0,0,0,1,0,0
0,3,37.0,2,0,7.925,3,0,2.188856327665703,1,0,1,0,1,0,0,0,0,1,0
0,3,28.0,0,0,7.8958,1,1,2.1855792552411137,1,0,1,0,1,0,0,0,1,0,0
1,3,21.0,0,0,7.65,1,1,2.157559320943788,0,0,1,1,0,0,0,0,1,0,0
1,3,28.0,0,0,7.775,1,1,2.1719067693519296,1,0,1,0,1,0,0,0,1,0,0
0,3,38.0,0,0,7.8958,1,1,2.1855792552411137,1,0,1,0,1,0,0,0,0,1,0
1,3,28.0,1,0,24.15,2,0,3.224857896545748,0,1,0,1,0,0,0,0,1,0,0
0,1,47.0,0,0,52.0,1,1,3.970291913552122,1,0,1,0,1,0,0,0,0,1,0
0,3,14.5,1,0,14.4542,2,0,2.737880811060884,0,0,0,1,0,0,0,1,0,0,0
0,3,22.0,0,0,8.05,1,1,2.2027647577118348,1,0,1,0,1,0,0,0,1,0,0
0,3,20.0,1,0,9.825,2,0,2.3818582738885534,0,0,1,1,0,0,0,0,1,0,0
0,3,17.0,0,0,14.4583,1,1,2.738146075922933,0,0,0,1,0,0,0,1,0,0,0
0,3,21.0,0,0,7.925,1,1,2.188856327665703,1,0,1,0,1,0,0,0,1,0,0
0,3,70.5,0,0,7.75,1,1,2.169053700369523,1,1,0,0,1,0,0,0,0,0,1
0,2,29.0,1,0,21.0,2,0,3.091042453358316,1,0,1,0,1,0,0,0,1,0,0
0,1,24.0,0,1,247.5208,2,0,5.515526544247129,1,0,0,0,1,0,0,0,1,0,0
0,3,2.0,4,2,31.275,7,0,3.4742929367327062,0,0,1,1,0,0,0,0,0,0,0
0,2,21.0,2,0,73.5,3,0,4.310799125385514,1,0,1,0,1,0,0,0,1,0,0
0,3,28.0,0,0,8.05,1,1,2.2027647577118348,1,0,1,0,1,0,0,0,1,0,0
0,2,32.5,1,0,30.0708,2,0,3.436268471383741,1,0,0,0,1,0,0,0,1,0,0
1,2,32.5,0,0,13.0,1,1,2.6390573296152584,0,0,1,1,0,0,0,0,1,0,0
0,1,54.0,0,1,77.2875,2,0,4.360387947851531,1,0,1,0,1,0,0,0,0,1,0
1,3,12.0,1,0,11.2417,2,0,2.5048481563289,1,0,0,0,0,0,0,0,0,0,0
0,3,28.0,0,0,7.75,1,1,2.169053700369523,1,1,0,0,1,0,0,0,1,0,0
1,3,24.0,0,0,7.1417,1,1,2.0969990034181696,1,0,1,0,1,0,0,0,1,0,0
1,3,28.0,1,1,22.3583,3,0,3.1509523813392697,0,0,0,1,0,0,0,0,1,0,0
0,3,45.0,0,0,6.975,1,1,2.076311648670908,1,0,1,0,1,0,0,0,0,1,0
0,3,33.0,0,0,7.8958,1,1,2.1855792552411137,1,0,0,0,1,0,0,0,1,0,0
0,3,20.0,0,0,7.05,1,1,2.0856720914304723,1,0,1,0,1,0,0,0,1,0,0
0,3,47.0,1,0,14.5,2,0,2.740840023925201,0,0,1,0,0,1,0,0,0,1,0
1,2,29.0,1,0,26.0,2,0,3.295836866004329,0,0,1,0,0,1,0,0,1,0,0
0,2,25.0,0,0,13.0,1,1,2.6390573296152584,1,0,1,0,1,0,0,0,1,0,0
0,2,23.0,0,0,15.0458,1,1,2.775447133088262,1,0,0,0,1,0,0,0,1,0,0
1,1,19.0,0,2,26.2833,3,0,3.3062747934011893,0,0,1,1,0,0,0,0,1,0,0
0,1,37.0,1,0,53.1,2,0,3.9908341858524357,1,0,1,0,1,0,0,0,0,1,0
0,3,16.0,0,0,9.2167,1,1,2.3240236363515288,1,0,1,0,1,0,0,1,0,0,0
0,1,24.0,0,0,79.2,1,1,4.384523514872469,1,0,0,0,1,0,0,0,1,0,0
0,3,28.0,0,2,15.2458,3,0,2.7878344138303452,0,0,0,0,0,1,0,0,1,0,0
1,3,22.0,0,0,7.75,1,1,2.169053700369523,0,0,1,1,0,0,0,0,1,0,0
1,3,24.0,1,0,15.85,2,0,2.8243506567983707,0,0,1,0,0,1,0,0,1,0,0
0,3,19.0,0,0,6.75,1,1,2.0476928433652555,1,1,0,0,1,0,0,0,1,0,0
0,2,18.0,0,0,11.5,1,1,2.5257286443082556,1,0,1,0,1,0,0,1,0,0,0
0,2,19.0,1,1,36.75,3,0,3.6309854756950335,1,0,1,0,1,0,0,0,1,0,0
1,3,27.0,0,0,7.7958,1,1,2.174274334826008,1,0,1,0,1,0,0,0,1,0,0
0,3,9.0,2,2,34.375,5,0,3.5660053559634015,0,0,1,1,0,0,0,0,0,0,0
0,2,36.5,0,2,26.0,3,0,3.295836866004329,1,0,1,0,1,0,0,0,0,1,0
0,2,42.0,0,0,13.0,1,1,2.6390573296152584,1,0,1,0,0,0,1,0,0,1,0
0,2,51.0,0,0,12.525,1,1,2.6045398247325453,1,0,1,0,0,0,1,0,0,1,0
1,1,22.0,1,0,66.6,2,0,4.213607983048918,0,0,1,0,0,1,0,0,1,0,0
0,3,55.5,0,0,8.05,1,1,2.2027647577118348,1,0,1,0,1,0,0,0,0,1,0
0,3,40.5,0,2,14.5,3,0,2.740840023925201,1,0,1,0,1,0,0,0,0,1,0
0,3,28.0,0,0,7.3125,1,1,2.1177604059819726,1,0,1,0,1,0,0,0,1,0,0
0,1,51.0,0,1,61.3792,2,0,4.133231886474144,1,0,0,0,1,0,0,0,0,1,0
1,3,16.0,0,0,7.7333,1,1,2.167143305297764,0,1,0,1,0,0,0,1,0,0,0
0,3,30.0,0,0,8.05,1,1,2.2027647577118348,1,0,1,0,1,0,0,0,1,0,0
0,3,28.0,0,0,8.6625,1,1,2.2682524139135403,1,0,1,0,1,0,0,0,1,0,0
0,3,28.0,8,2,69.55,11,0,4.256321678298823,1,0,1,0,0,0,0,0,1,0,0
0,3,44.0,0,1,16.1,2,0,2.8390784635086144,1,0,1,0,1,0,0,0,0,1,0
1,2,40.0,0,0,15.75,1,1,2.8183982582710754,0,0,1,0,0,1,0,0,0,1,0
0,3,26.0,0,0,7.775,1,1,2.1719067693519296,1,0,1,0,1,0,0,0,1,0,0
0,3,17.0,0,0,8.6625,1,1,2.2682524139135403,1,0,1,0,1,0,0,1,0,0,0
0,3,1.0,4,1,39.6875,6,0,3.705920919968788,1,0,1,0,0,0,0,0,0,0,0
1,3,9.0,0,2,20.525,3,0,3.0692150503137943,1,0,1,0,0,0,0,0,0,0,0
1,1,28.0,0,1,55.0,2,0,4.02535169073515,0,0,1,0,0,1,0,0,1,0,0
0,3,45.0,1,4,27.9,6,0,3.3638415951183864,0,0,1,0,0,1,0,0,0,1,0
0,1,28.0,0,0,25.925,1,1,3.2930552230424524,1,0,1,0,1,0,0,0,1,0,0
0,3,28.0,0,0,56.4958,1,1,4.05171190165724,1,0,1,0,1,0,0,0,1,0,0
0,1,61.0,0,0,33.5,1,1,3.5409593240373143,1,0,1,0,1,0,0,0,0,0,1
0,3,4.0,4,1,29.125,6,0,3.405355391810819,1,1,0,0,0,0,0,0,0,0,0
1,3,1.0,1,1,11.1333,3,0,2.495953738718064,0,0,1,1,0,0,0,0,0,0,0
0,3,21.0,0,0,7.925,1,1,2.188856327665703,1,0,1,0,1,0,0,0,1,0,0
0,1,56.0,0,0,30.6958,1,1,3.4561841799918147,1,0,0,0,1,0,0,0,0,1,0
0,3,18.0,1,1,7.8542,3,0,2.180891922715322,1,0,1,0,1,0,0,1,0,0,0
0,3,28.0,3,1,25.4667,5,0,3.275887339030031,1,0,1,0,0,0,0,0,1,0,0
0,1,50.0,0,0,28.7125,1,1,3.391567832686312,0,0,0,1,0,0,0,0,0,1,0
0,2,30.0,0,0,13.0,1,1,2.6390573296152584,1,0,1,0,1,0,0,0,1,0,0
0,3,36.0,0,0,0.0,1,1,0.0,1,0,1,0,1,0,0,0,0,1,0
0,3,28.0,8,2,69.55,11,0,4.256321678298823,0,0,1,1,0,0,0,0,1,0,0
0,2,28.0,0,0,15.05,1,1,2.775708849576025,1,0,0,0,1,0,0,0,1,0,0
0,3,9.0,4,2,31.3875,7,0,3.4777725458882283,1,0,1,0,0,0,0,0,0,0,0
1,2,1.0,2,1,39.0,4,0,3.6888794541139363,1,0,1,0,0,0,0,0,0,0,0
1,3,4.0,0,2,22.025,3,0,3.1365805821413706,0,0,1,1,0,0,0,0,0,0,0
0,1,28.0,0,0,50.0,1,1,3.9318256327243257,1,0,1,0,1,0,0,0,1,0,0
1,3,28.0,1,0,15.5,2,0,2.803360380906535,0,1,0,0,0,1,0,0,1,0,0
1,1,45.0,0,0,26.55,1,1,3.3160025355989236,1,0,1,0,1,0,0,0,0,1,0
0,3,40.0,1,1,15.5,3,0,2.803360380906535,1,1,0,0,1,0,0,0,0,1,0
0,3,36.0,0,0,7.8958,1,1,2.1855792552411137,1,0,1,0,1,0,0,0,0,1,0
1,2,32.0,0,0,13.0,1,1,2.6390573296152584,0,0,1,0,0,1,0,0,1,0,0
0,2,19.0,0,0,13.0,1,1,2.6390573296152584,1,0,1,0,1,0,0,0,1,0,0
1,3,19.0,1,0,7.8542,2,0,2.180891922715322,0,0,1,1,0,0,0,0,1,0,0
1,2,3.0,1,1,26.0,3,0,3.295836866004329,1,0,1,0,0,0,0,0,0,0,0
1,1,44.0,0,0,27.7208,1,1,3.357621598945279,0,0,0,0,0,1,0,0,0,1,0
1,1,58.0,0,0,146.5208,1,1,4.993969182787072,0,0,0,1,0,0,0,0,0,1,0
0,3,28.0,0,0,7.75,1,1,2.169053700369523,1,1,0,0,1,0,0,0,1,0,0
0,3,42.0,0,1,8.4042,2,0,2.2411563979973974,1,0,1,0,1,0,0,0,0,1,0
1,3,28.0,0,0,7.75,1,1,2.169053700369523,0,1,0,1,0,0,0,0,1,0,0
0,2,24.0,0,0,13.0,1,1,2.6390573296152584,0,0,1,1,0,0,0,0,1,0,0
0,3,28.0,0,0,9.5,1,1,2.3513752571634776,1,0,1,0,1,0,0,0,1,0,0
0,3,28.0,8,2,69.55,11,0,4.256321678298823,1,0,1,0,1,0,0,0,1,0,0
0,3,34.0,0,0,6.4958,1,1,2.0143428636837015,1,0,1,0,1,0,0,0,1,0,0
0,3,45.5,0,0,7.225,1,1,2.1071782966514356,1,0,0,0,1,0,0,0,0,1,0
1,3,18.0,0,0,8.05,1,1,2.2027647577118348,1,0,1,0,1,0,0,1,0,0,0
0,3,2.0,0,1,10.4625,2,0,2.4390808375825834,0,0,1,1,0,0,0,0,0,0,0
0,3,32.0,1,0,15.85,2,0,2.8243506567983707,1,0,1,0,1,0,0,0,1,0,0
1,3,26.0,0,0,18.7875,1,1,2.9850504252071306,1,0,0,0,1,0,0,0,1,0,0
1,3,16.0,0,0,7.75,1,1,2.169053700369523,0,1,0,1,0,0,0,1,0,0,0
1,1,40.0,0,0,31.0,1,1,3.4657359027997265,1,0,0,0,1,0,0,0,0,1,0
0,3,24.0,0,0,7.05,1,1,2.0856720914304723,1,0,1,0,1,0,0,0,1,0,0
1,2,35.0,0,0,21.0,1,1,3.091042453358316,0,0,1,1,0,0,0,0,1,0,0
0,3,22.0,0,0,7.25,1,1,2.1102132003465894,1,0,1,0,1,0,0,0,1,0,0
0,2,30.0,0,0,13.0,1,1,2.6390573296152584,1,0,1,0,1,0,0,0,1,0,0
0,3,28.0,1,0,7.75,2,0,2.169053700369523,1,1,0,0,1,0,0,0,1,0,0
1,1,31.0,1,0,113.275,2,0,4.738607824217808,0,0,0,1,0,0,0,0,1,0,0
1,3,27.0,0,0,7.925,1,1,2.188856327665703,0,0,1,1,0,0,0,0,1,0,0
0,2,42.0,1,0,27.0,2,0,3.332204510175204,1,0,1,0,1,0,0,0,0,1,0
1,1,32.0,0,0,76.2917,1,1,4.347586575960343,0,0,0,1,0,0,0,0,1,0,0
0,2,30.0,0,0,10.5,1,1,2.4423470353692043,1,0,1,0,1,0,0,0,1,0,0
1,3,16.0,0,0,8.05,1,1,2.2027647577118348,1,0,1,0,1,0,0,1,0,0,0
0,2,27.0,0,0,13.0,1,1,2.6390573296152584,1,0,1,0,1,0,0,0,1,0,0
0,3,51.0,0,0,8.05,1,1,2.2027647577118348,1,0,1,0,1,0,0,0,0,1,0
0,3,28.0,0,0,7.8958,1,1,2.1855792552411137,1,0,1,0,1,0,0,0,1,0,0
1,1,38.0,1,0,90.0,2,0,4.51085950651685,1,0,1,0,1,0,0,0,0,1,0
0,3,22.0,0,0,9.35,1,1,2.336986519711378,1,0,1,0,1,0,0,0,1,0,0
1,2,19.0,0,0,10.5,1,1,2.4423470353692043,1,0,1,0,1,0,0,0,1,0,0
0,3,20.5,0,0,7.25,1,1,2.1102132003465894,1,0,1,0,1,0,0,0,1,0,0
0,2,18.0,0,0,13.0,1,1,2.6390573296152584,1,0,1,0,1,0,0,1,0,0,0
0,3,28.0,3,1,25.4667,5,0,3.275887339030031,0,0,1,1,0,0,0,0,1,0,0
1,1,35.0,1,0,83.475,2,0,4.436455632600354,0,0,1,0,0,1,0,0,1,0,0
0,3,29.0,0,0,7.775,1,1,2.1719067693519296,1,0,1,0,1,0,0,0,1,0,0
0,2,59.0,0,0,13.5,1,1,2.6741486494265287,1,0,1,0,1,0,0,0,0,1,0
1,3,5.0,4,2,31.3875,7,0,3.4777725458882283,0,0,1,1,0,0,0,0,0,0,0
0,2,24.0,0,0,10.5,1,1,2.4423470353692043,1,0,1,0,1,0,0,0,1,0,0
0,3,28.0,0,0,7.55,1,1,2.145931282948669,0,0,1,1,0,0,0,0,1,0,0
0,2,44.0,1,0,26.0,2,0,3.295836866004329,1,0,1,0,1,0,0,0,0,1,0
1,2,8.0,0,2,26.25,3,0,3.305053521109253,0,0,1,1,0,0,0,0,0,0,0
0,2,19.0,0,0,10.5,1,1,2.4423470353692043,1,0,1,0,1,0,0,0,1,0,0
0,2,33.0,0,0,12.275,1,1,2.5858825671280026,1,0,1,0,1,0,0,0,1,0,0
0,3,28.0,1,0,14.4542,2,0,2.737880811060884,0,0,0,1,0,0,0,0,1,0,0
1,3,28.0,1,0,15.5,2,0,2.803360380906535,0,1,0,1,0,0,0,0,1,0,0
0,2,29.0,0,0,10.5,1,1,2.4423470353692043,1,0,1,0,1,0,0,0,1,0,0
0,3,22.0,0,0,7.125,1,1,2.094945728215801,1,0,1,0,1,0,0,0,1,0,0
0,3,30.0,0,0,7.225,1,1,2.1071782966514356,1,0,0,0,1,0,0,0,1,0,0
0,1,44.0,2,0,90.0,3,0,4.51085950651685,1,1,0,0,0,0,1,0,0,1,0
0,3,25.0,0,0,7.775,1,1,2.1719067693519296,0,0,1,1,0,0,0,0,1,0,0
1,2,24.0,0,2,14.5,3,0,2.740840023925201,0,0,1,0,0,1,0,0,1,0,0
1,1,37.0,1,1,52.5542,3,0,3.9806942251907276,1,0,1,0,1,0,0,0,0,1,0
0,2,54.0,1,0,26.0,2,0,3.295836866004329,1,0,1,0,0,0,1,0,0,1,0
0,3,28.0,0,0,7.25,1,1,2.1102132003465894,1,0,1,0,1,0,0,0,1,0,0
0,3,29.0,1,1,10.4625,3,0,2.4390808375825834,0,0,1,0,0,1,0,0,1,0,0
0,1,62.0,0,0,26.55,1,1,3.3160025355989236,1,0,1,0,1,0,0,0,0,0,1
0,3,30.0,1,0,16.1,2,0,2.8390784635086144,1,0,1,0,1,0,0,0,1,0,0
0,3,41.0,0,2,20.2125,3,0,3.0545906305603445,0,0,1,0,0,1,0,0,0,1,0
1,3,29.0,0,2,15.2458,3,0,2.7878344138303452,0,0,0,0,0,1,0,0,1,0,0
1,1,28.0,0,0,79.2,1,1,4.384523514872469,0,0,0,0,0,1,0,0,1,0,0
1,1,30.0,0,0,86.5,1,1,4.471638793363569,0,0,1,1,0,0,0,0,1,0,0
1,1,35.0,0,0,512.3292,1,1,6.240917354759096,0,0,0,1,0,0,0,0,1,0,0
1,2,50.0,0,1,26.0,2,0,3.295836866004329,0,0,1,0,0,1,0,0,0,1,0
0,3,28.0,0,0,7.75,1,1,2.169053700369523,1,1,0,0,1,0,0,0,1,0,0
1,3,3.0,4,2,31.3875,7,0,3.4777725458882283,1,0,1,0,0,0,0,0,0,0,0
0,1,52.0,1,1,79.65,3,0,4.390118804571218,1,0,1,0,1,0,0,0,0,1,0
0,1,40.0,0,0,0.0,1,1,0.0,1,0,1,0,1,0,0,0,0,1,0
0,3,28.0,0,0,7.75,1,1,2.169053700369523,0,1,0,1,0,0,0,0,1,0,0
0,2,36.0,0,0,10.5,1,1,2.4423470353692043,1,0,1,0,1,0,0,0,0,1,0
0,3,16.0,4,1,39.6875,6,0,3.705920919968788,1,0,1,0,1,0,0,1,0,0,0
1,3,25.0,1,0,7.775,2,0,2.1719067693519296,1,0,1,0,1,0,0,0,1,0,0
1,1,58.0,0,1,153.4625,2,0,5.039951348430309,0,0,1,0,0,1,0,0,0,1,0
